평점,댓글
5,다른 병원가면 사나흘 약 먹어야 떨어지는데 여기는 좀 독하게 지어주시긴 하지만 바로 효과가 나타나요 엄청 빠르고 정확하게 진료해주십니다 후기보고 갔는데 찐 명의 맞네요 진짜!!
5,"모두 5점이라 첨엔 반신반의 했는데, 다녀오니 이 평점이 맞습니다."
5,레전드.
5,진짜 평이 왜 이렇게 좋은지 알겠습니다 기침으로 한달간 고생 중이었는데 다른 병원에서는 무슨 알레르기라고 하고 지어준 약은 하나도 효과없었어요ㅠ 근데 여기 오자마자 약 먹고 바로 나았습니다!!! 얘기도 잘들어주시고 친절하세요. 다른 댓글대로 혼자 하시는 병원인 것 같아요. 외관이 좀 허름해도 효과가 바로 나타나니까 이제 여기로만 다니려구요ㅠ  다만 약이 병...
5,다른 병원가면 사나흘 약 먹어야 떨어지는데 여기는 좀 독하게 지어주시긴 하지만 바로 효과가 나타나요 엄청 빠르고 정확하게 진료해주십니다 후기보고 갔는데 찐 명의 맞네요 진짜!!
5,"모두 5점이라 첨엔 반신반의 했는데, 다녀오니 이 평점이 맞습니다."
5,왜 평이좋은지알겠어요  코감기가온거같아서 이비인후과찾다가 평이좋아서 갔는데 허름한외관이었지만  제가봣던의사분들중에 제일친절하셧어요!! 접수도혼자하시고 주사도직접놔주셧는데  친절하셔서 너무나신뢰가....하하또아프긴싫지만  이비인후과는 여기로 가야겠어요
5,이비인후과 달고 사는데 이 동네 단골 이비인후과를 못 찾아서 5군데 돌아다닌 결과 이곳만 다님
1,아직 가보진않았지만.가보려구 전화로 진료하냐물어보고 위치 물어보려는데 일방적으로 뚝 끊어버리네..배가불렀네..안가봐도 비디오...병원이.친절보다는 병이빨리낳느냐가ㅡ중요한게아닌가...그런말은없고..무슨..아휴.댓글도좀 도움될만한걸 올려 
5,진짜 진짜 꼼꼼하게 봐주시고 다른 병원 저리가라하게 자세히 설명해 주셨어요!! 이런 병원 처음이고 1인병원인 듯??
5,최고
5,"엄청 친절하십니다... 치료도 신속하게 해주시고, 주사도 완전 안 아프게 놔주십니다 ㅋㅋㅋㅋㅋ 약도 잘 지어주셔서 진짜 바로 나았네요... 완전 추천이여ㅎㅎ"
5,간호사도 없어서 처음엔 뭐지 싶었는데 이젠 여기만 갑니다. 의사샘님 최고!
5,진짜 답십리 용답쪽에 여기만한 이비인후과 없습니다;; 혼자 하시지만 친철하게 하나하나 답변해주시고 추후 아픈데까지 봐주십니다
5,의사 선생님 오랫동안 이야기 들어주시고 그에 맞는 처방 내려주셔서 좋아요. 동네 분들도 많이 이용하시는 것 같았어요
5,선생님 정말 친절하시고 약도 잘쓰심 이전 진료때 말한 사항을 다음진료때도 기억하고 계셔서 놀랐습니다 ㅎㅎ... 
5,"엄청 친절하십니다... 치료도 신속하게 해주시고, 주사도 완전 안 아프게 놔주십니다 ㅋㅋㅋㅋㅋ 약도 잘 지어주셔서 진짜 바로 나았네요... 완전 추천이여ㅎㅎ"
5,간호사도 없어서 처음엔 뭐지 싶었는데 이젠 여기만 갑니다. 의사샘님 최고!
5,진짜 답십리 용답쪽에 여기만한 이비인후과 없습니다;; 혼자 하시지만 친철하게 하나하나 답변해주시고 추후 아픈데까지 봐주십니다
5,의사 선생님 오랫동안 이야기 들어주시고 그에 맞는 처방 내려주셔서 좋아요. 동네 분들도 많이 이용하시는 것 같았어요
5,선생님 정말 친절하시고 약도 잘쓰심 이전 진료때 말한 사항을 다음진료때도 기억하고 계셔서 놀랐습니다 ㅎㅎ... 
5,리뷰에서 하는말들이 딱맞네욬ㅋㅋㅋㅌㅋ 쌤 친절하시고 병원좋습니다 추천드려요
5,가보면 알게됩니다. 외관은 중요치않아요. 이 동네 이비인후과 갈데가 없는데 다른분들 리뷰덕에 잘 진료받고옵니다. 의사선생님 진료도 잘 봐주시고 차분하게 설명해주시고 주사도 하나도 안아파요. 별점이런거 잘 안남기는데 아프면 힘들잖아요. 다들 잘 진료받고 쾌차하시길.
5,중요하지 않은 외관만 빼면 다 좋음.
5,이렇게 별점이 높은 경우는 첨이라 혹시나하고 처응방문했는데요 저도 병원이맞나싶은 외관이 조금 놀라웠지만 평대로 진짜친절하시고 너무좋으세요 그리구  주사도 진짜안아프게 놔주세요 신기ㅎ
1,처방전 봤는데 약을 좀 많이 세게 처방해주시네요 나중에 이거보다 더 아프면 어떡하지… 어린 애들 데리고는 안가는게 좋을듯 친절한지 아닌지는 크게 상관없었는데 처방받은 약이 많이 걸리네요
4,괜찮았어요~~
1,코로나 전화상담으로 오전9시반에 전화했더니 오후3시이후에 전화하라는 당당한 요구 다른데는 바로 접수하고 연락준다 그랬는데 코로나 받기싫은듯
1,접수가 굉장히 불친절함. 대기에 대해서 제대로 설명안해주고 2분 늦었다고 말투도 빈정대고 이런 병원 처음 봤네요. 신속항원검사하는 사람은 병균취급하며 나가서 서있으라함. 가지마세요
1,다좋은데 의사선생님이 코로나 공포증 있는거 같음..... 기승전코로나
5,귀가 아파서 오늘 처음 다녀왔는데 의사선생님  친절하시고 좋아요
1,의사는 친절하고 진료를 잘 봤는데 카운터 보는 키작고 통통한 직원이 싸가지 없음. 진료끝나고 결재한 카드를 돌려줄때 직원이 접수대에 내려놓고 인사하고 휙 가버림. 접수대에 있는 처방전가져가라는 말도 없어서 내 처방전이냐고 물어보고 내손으로 가져옴. 괜히 갔다가 기분만 잡침. 추후 방문의사 절대없음 ㅉㅉ
5,의사 선생님이 정말 친절하십니다.  집 가까이에 있어서 자주 갈듯하네요
5,"코감기 심해서 갔는데, 정말 친절하시네요 후기 잘 안남기는데 인상 깊어서 남겨봅니다. "
5,항상 친절하게 진료해주시는 원장님... 그래서 우리 가족모두 진료받고있어요~ 감사합니다~^^
5,백신접종시 간호사님께서 친절하게 안내해주셔서 편하게 기다릴수 있었습니다~~ 그리고 의사쌤께서 자세하고 친절하게 백신에 대해 설명해주셔서 안심하고 백신 접종을 마칠수 있었습니다~
5,백신접종 잘 받았습니다. 시설도 깔끔하고 친절하게 안내해주셔서 만족합니다.
5,병원 입실시 간호사님께서 반갑게 맞아주십니다. 선생님은 이해하기쉽게  설명해주시고 친절하게 응대해 주십니다.  병원시설이 매우 깨끗하여 청정공간입니다. 감사합니다. 수고하십시오.
5,친절하게 상담해 주시고 자세하게 설명해주시네요 약도 저한테 잘 맞네요!!
5,시설 깨끗하고 친절한 곳이네요. 친절한 설명과 환자를 대하는 모습이 좋았습니다.
5,"병원도 깔끔하고, 원장 선생님 및 간호사 선생님들도 너무 친절하게 응대를 잘 해주시네요. 감사합니다. 사업 번창하세요"
5,백신주사 맞았는데 빠르고 신속하고 친절하게 해주셨습니다. 병원도 깔끔하고 좋습니다
5,깨끗한병원에서  치료 잘받고 갑니다 원장님~~
5,의사선생님이 젊으시고 친절했어요 편하게 얘기해 주셔서 믿음이 갔습니다
5,의사 선생님이 친절하게 꼼꼼이 상담을 해주시네요. 간호사 분들도 친절하시고요 진료 잘 받고 왔어요
5,평소 비염이 심해 이비인후과 자주 다니는데 치료받고 약먹으니 금방 좋아졌네요 원장님이 설명도 잘해주시고 생활습관에 대한 이야기도 해주시네요 시설도 좋고 직원들도 친절합니다
5,"초딩 아들 데리고 갔는데 간호사 분들도 친절히 알려주시고 선생님도 코,목 아주 자세히 봐주시더라구요. 설명도 알기 쉽게 해주시구요. 최고에요!"
5,언제나 변함없이 친절한 병원^^ 딸이 아플때마다 매번 방문하면서 느끼는거지만... 언제나 친절하게..진료 무서워하는 우리 공주님께 너무너무 편안하게 진료해주시는 선생님..^^ 감사합니다~~~~~~~^^
5,처음 방문이었는데 원장님이하 간호사분들 모두 친절하시네요. 원장선생님께서 진단결과를 꼼꼼히 설명해주시고 치료방법도 이해하기 쉽게 잘 설명해 주시네요. 믿음이 갑니다. 자주오면 안되겠지만 이비인후과 올일 있으면 이제 여기 오면 되겠네요. 만족합니다.
5,매번 갈때마다 느끼지만 친절하게 상담해주시고 처방 잘해주셔서 금방 낫는거 같습니다 특히 알레르기가 심해 고생했었는데 맑은 성모 이비인후과 다니고 많이 좋아졌네요^^
5,평소 비염이 심해 이비인후과 자주 다니는데 치료받고 약먹으니 금방 좋아졌네요 원장님이 설명도 잘해주시고 생활습관에 대한 이야기도 해주시네요 시설도 좋고 직원들도 친절합니다
5,"초딩 아들 데리고 갔는데 간호사 분들도 친절히 알려주시고 선생님도 코,목 아주 자세히 봐주시더라구요. 설명도 알기 쉽게 해주시구요. 최고에요!"
5,언제나 변함없이 친절한 병원^^ 딸이 아플때마다 매번 방문하면서 느끼는거지만... 언제나 친절하게..진료 무서워하는 우리 공주님께 너무너무 편안하게 진료해주시는 선생님..^^ 감사합니다~~~~~~~^^
5,처음 방문이었는데 원장님이하 간호사분들 모두 친절하시네요. 원장선생님께서 진단결과를 꼼꼼히 설명해주시고 치료방법도 이해하기 쉽게 잘 설명해 주시네요. 믿음이 갑니다. 자주오면 안되겠지만 이비인후과 올일 있으면 이제 여기 오면 되겠네요. 만족합니다.
5,매번 갈때마다 느끼지만 친절하게 상담해주시고 처방 잘해주셔서 금방 낫는거 같습니다 특히 알레르기가 심해 고생했었는데 맑은 성모 이비인후과 다니고 많이 좋아졌네요^^
5,"병원도 깔끔하고, 원장 선생님 및 간호사 선생님들도 너무 친절하게 응대를 잘 해주시네요. 감사합니다. 사업 번창하세요"
5,백신주사 맞았는데 빠르고 신속하고 친절하게 해주셨습니다. 병원도 깔끔하고 좋습니다
5,깨끗한병원에서  치료 잘받고 갑니다 원장님~~
5,의사선생님이 젊으시고 친절했어요 편하게 얘기해 주셔서 믿음이 갔습니다
5,의사 선생님이 친절하게 꼼꼼이 상담을 해주시네요. 간호사 분들도 친절하시고요 진료 잘 받고 왔어요
5,"병원도 깔끔하고, 원장 선생님 및 간호사 선생님들도 너무 친절하게 응대를 잘 해주시네요. 감사합니다. 사업 번창하세요"
5,백신주사 맞았는데 빠르고 신속하고 친절하게 해주셨습니다. 병원도 깔끔하고 좋습니다
5,깨끗한병원에서  치료 잘받고 갑니다 원장님~~
5,의사선생님이 젊으시고 친절했어요 편하게 얘기해 주셔서 믿음이 갔습니다
5,의사 선생님이 친절하게 꼼꼼이 상담을 해주시네요. 간호사 분들도 친절하시고요 진료 잘 받고 왔어요
5,평소 비염이 심해 이비인후과 자주 다니는데 치료받고 약먹으니 금방 좋아졌네요 원장님이 설명도 잘해주시고 생활습관에 대한 이야기도 해주시네요 시설도 좋고 직원들도 친절합니다
5,"초딩 아들 데리고 갔는데 간호사 분들도 친절히 알려주시고 선생님도 코,목 아주 자세히 봐주시더라구요. 설명도 알기 쉽게 해주시구요. 최고에요!"
5,언제나 변함없이 친절한 병원^^ 딸이 아플때마다 매번 방문하면서 느끼는거지만... 언제나 친절하게..진료 무서워하는 우리 공주님께 너무너무 편안하게 진료해주시는 선생님..^^ 감사합니다~~~~~~~^^
5,처음 방문이었는데 원장님이하 간호사분들 모두 친절하시네요. 원장선생님께서 진단결과를 꼼꼼히 설명해주시고 치료방법도 이해하기 쉽게 잘 설명해 주시네요. 믿음이 갑니다. 자주오면 안되겠지만 이비인후과 올일 있으면 이제 여기 오면 되겠네요. 만족합니다.
5,매번 갈때마다 느끼지만 친절하게 상담해주시고 처방 잘해주셔서 금방 낫는거 같습니다 특히 알레르기가 심해 고생했었는데 맑은 성모 이비인후과 다니고 많이 좋아졌네요^^
5,"감기 기운이 있어 방문했는데, 의사 선생님이 친절히 상담해주시네요. 덕분에 빨리 완치된듯요~~"
5,아이가 숨쉬는게 불편한것 같아 데리고 갔었는데 친절하게 증상설명해주고 좋았습니다. 코로나로 힘든시국인데 감염예방에도 무척 신경 쓰시는게 믿음이 가더라고요.. ^^
2,"2021년 초반에 갔었는데 코로나때문에 위험한 것도 있긴하지만 그냥 단순 감기면 처방만 해주고 자세한 진료는 안하더라구요. 근데 다른 리뷰들 보니깐 여전히 그런것 같네요, 의사선생님께서 거의 썬캡같은 얼굴 다 가리는 보호장구 쓰셨던데..흠"
1,의사선생님이 환자 진료하는 것을 안좋아하시는것 같네요. 좀 불결해(?)하는 느낌. 그래도 이비인후과인데 자세히 보지도 않고 마스크도 벗지말라고 하고 증상 질문만 하고 대충 약 처방해 주고 끝났어요. 열도 없었고 코막힘 증상 때문에 갔는데..  코로나 걸릴까봐 두려워 하시나..  굉장히 기분이 불쾌했습니다.. 당연히 증상도 호전되지 않았어요
5,백신 주사 때문에 잠깐 머물렀지만 선생님과 직원분들 모두 진심으로 친절하셨습니다 다음에 이비인후과 갈 일 생기면 여기로 갈려구요
